"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0;-0,0078;0,109697;0;-60;-60
2e-05;-0,00796;0,12101;4,99351;-60;-60
4e-05;-0,00784;0,121616;9,98702;-60;-60
6e-05;-0,00788;0,12404;14,9805;-60;-60
8e-05;-0,00792;0,127677;19,974;-60;-60
0,0001;-0,008;0,137172;24,9675;-60;-60
0,00012;-0,00804;0,140404;29,9611;-60;-60
0,00014;-0,00808;0,141414;34,9546;-60;-60
0,00016;-0,00808;0,141414;39,9481;-60;-60
0,00018;-0,00808;0,142424;44,9416;-39,7754;-13,2082
0,0002;-0,01372;0,241212;49,9351;-31,9988;-5,44281
0,00022;-0,01524;0,276768;54,9286;-39,0499;-12,499
0,00024;-0,01564;0,281818;59,9221;-60;-60
0,00026;-0,01584;0,28303;64,9156;-60;-60
0,00028;-0,01584;0,284444;69,9091;-60;-60
0,0003;-0,01596;0,291111;74,9026;-60;-60
0,00032;-0,016;0,301212;79,8961;-60;-60
0,00034;-0,016;0,30303;84,8896;-60;-60
0,00036;-0,01616;0,303232;89,8832;-60;-60
0,00038;-0,01612;0,305051;94,8767;-60;-60
0,0004;-0,01616;0,311717;99,8702;-60;-60
0,00042;-0,01644;0,32101;104,864;-60;-60
0,00044;-0,017;0,323434;109,857;-60;-60
0,00046;-0,01768;0,328889;114,851;-60;-60
0,00048;-0,01836;0,337778;119,844;-60;-60
0,0005;-0,01888;0,341818;124,838;-60;-60
0,00052;-0,01968;0,343838;129,831;-60;-60
0,00054;-0,01988;0,347879;134,825;-60;-60
0,00056;-0,02;0,358182;139,818;-60;-60
0,00058;-0,02;0,36303;144,812;-47,6417;-33,5598
0,0006;-0,02;0,36404;149,805;-39,1353;-25,0208
0,00062;-0,0202;0,372323;154,799;-45,4897;-31,4187
0,00064;-0,02076;0,377576;159,792;-60;-60
0,00066;-0,02144;0,38303;164,786;-60;-60
0,00068;-0,02252;0,38404;169,779;-60;-60
0,0007;-0,02296;0,388081;174,773;-60;-60
0,00072;-0,0234;0,395758;179,766;-60;-60
0,00074;-0,02368;0,399394;184,76;-60;-60
0,00076;-0,024;0,404444;189,753;-60;-60
0,00078;-0,02416;0,406263;194,747;-60;-60
0,0008;-0,0244;0,412727;199,74;-60;-60
0,00082;-0,02516;0,42202;204,734;-60;-60
0,00084;-0,02616;0,424242;209,727;-60;-60
0,00086;-0,02676;0,427273;214,721;-60;-60
0,00088;-0,02748;0,434141;219,714;-60;-60
0,0009;-0,02768;0,441818;224,708;-60;-60
0,00092;-0,02804;0,444646;229,701;-60;-60
0,00094;-0,02812;0,445859;234,695;-60;-60
0,00096;-0,02868;0,450707;239,688;-60;-60
0,00098;-0,02948;0,461212;244,682;-60;-46,1305
0,001;-0,03044;0,464444;249,675;-51,9333;-36,9821
0,00102;-0,03108;0,464646;254,669;-57,6084;-42,6564
0,00104;-0,03156;0,467273;259,662;-60;-60
0,00106;-0,03188;0,479394;264,656;-60;-60
0,00108;-0,032;0,483838;269,649;-60;-60
0,0011;-0,032;0,485859;274,643;-60;-60
0,00112;-0,032;0,492727;279,636;-60;-60
0,00114;-0,03208;0,500808;284,63;-60;-60
0,00116;-0,0324;0,503232;289,623;-60;-60
0,00118;-0,03348;0,505051;294,617;-60;-60
0,0012;-0,0344;0,510303;299,611;-60;-60
0,00122;-0,0352;0,515152;304,604;-60;-60
0,00124;-0,03572;0,52101;309,598;-60;-60
0,00126;-0,03584;0,525253;314,591;-60;-60
0,00128;-0,03596;0,525253;319,585;-60;-60
0,0013;-0,03608;0,527071;324,578;-60;-60
0,00132;-0,0362;0,532929;329,572;-60;-60
0,00134;-0,03668;0,540202;334,565;-60;-60
0,00136;-0,03684;0,545253;339,559;-60;-60
0,00138;-0,03832;0,545657;344,552;-60;-59,7747
0,0014;-0,03888;0,547071;349,546;-60;-49,5769
0,00142;-0,0394;0,549495;354,539;-60;-54,1722
0,00144;-0,03972;0,554343;359,533;-60;-60
0,00146;-0,04004;0,555556;364,526;-60;-60
0,00148;-0,04016;0,564242;369,52;-60;-60
0,0015;-0,04024;0,565859;374,513;-60;-60
0,00152;-0,04088;0,570505;379,507;-60;-60
0,00154;-0,0412;0,574747;384,5;-60;-60
0,00156;-0,04232;0,58101;389,494;-60;-60
0,00158;-0,04312;0,582222;394,487;-60;-60
0,0016;-0,04336;0,587677;399,481;-60;-60
0,00162;-0,04352;0,590101;404,474;-60;-60
0,00164;-0,04388;0,59899;409,468;-60;-60
0,00166;-0,0438;0,604646;414,461;-60;-60
0,00168;-0,04388;0,606869;419,455;-60;-60
0,0017;-0,04412;0,607475;424,448;-60;-60
0,00172;-0,04444;0,612121;429,442;-60;-60
0,00174;-0,04468;0,618384;434,435;-60;-60
0,00176;-0,04476;0,622828;439,429;-60;-60
0,00178;-0,0454;0,624848;444,422;-60;-58,1391
0,0018;-0,04576;0,625859;449,416;-60;-47,8896
0,00182;-0,04628;0,626667;454,409;-60;-51,8389
0,00184;-0,04612;0,630303;459,403;-60;-60
0,00186;-0,04684;0,637374;464,396;-60;-60
0,00188;-0,04676;0,643636;469,39;-60;-60
0,0019;-0,0472;0,646263;474,383;-60;-60
0,00192;-0,04764;0,647677;479,377;-60;-60
0,00194;-0,04768;0,653535;484,37;-60;-60
0,00196;-0,04788;0,657172;489,364;-60;-60
0,00198;-0,04792;0,66202;494,357;-60;-60
0,002;-0,04792;0,665253;499,351;-60;-60
0,00202;-0,048;0,667475;504,344;-60;-60
0,00204;-0,048;0,669091;509,338;-60;-60
0,00206;-0,04796;0,675758;514,331;-60;-60
0,00208;-0,04796;0,676566;519,325;-60;-60
0,0021;-0,048;0,67899;524,318;-60;-60
0,00212;-0,048;0,685455;529,312;-60;-60
0,00214;-0,048;0,688889;534,305;-60;-60
0,00216;-0,04804;0,693131;539,299;-60;-60
0,00218;-0,048;0,695152;544,292;-60;-60
0,0022;-0,04796;0,701818;549,286;-60;-50,8138
0,00222;-0,048;0,706263;554,279;-60;-54,5153
0,00224;-0,04796;0,705253;559,273;-60;-60
0,00226;-0,048;0,705657;564,266;-60;-60
0,00228;-0,04796;0,707677;569,26;-60;-60
0,0023;-0,048;0,710909;574,253;-60;-60
0,00232;-0,048;0,71798;579,247;-60;-60
0,00234;-0,048;0,718384;584,24;-60;-60
0,00236;-0,048;0,726869;589,234;-60;-60
0,00238;-0,048;0,728889;594,228;-60;-60
0,0024;-0,048;0,732929;599,221;-60;-60
0,00242;-0,048;0,738788;604,215;-60;-60
0,00244;-0,04788;0,745859;609,208;-60;-60
0,00246;-0,04792;0,745859;614,202;-60;-60
0,00248;-0,04796;0,748687;619,195;-60;-60
0,0025;-0,048;0,750707;624,189;-60;-60
0,00252;-0,04804;0,753939;629,182;-60;-60
0,00254;-0,04792;0,758182;634,176;-60;-60
0,00256;-0,0478;0,761616;639,169;-60;-60
0,00258;-0,04788;0,765253;644,163;-60;-60
0,0026;-0,04784;0,767475;649,156;-60;-60
0,00262;-0,04796;0,767879;654,15;-60;-60
0,00264;-0,04768;0,770909;659,143;-60;-60
0,00266;-0,04752;0,773737;664,137;-60;-60
0,00268;-0,04756;0,779596;669,13;-60;-60
0,0027;-0,04748;0,782828;674,124;-60;-60
0,00272;-0,04744;0,784242;679,117;-60;-60
0,00274;-0,04724;0,787475;684,111;-60;-60
0,00276;-0,04688;0,787879;689,104;-60;-60
0,00278;-0,04616;0,788081;694,098;-60;-60
0,0028;-0,04576;0,791515;699,091;-60;-60
0,00282;-0,04608;0,792323;704,085;-60;-60
0,00284;-0,04552;0,796162;709,078;-60;-60
0,00286;-0,0452;0,798384;714,072;-60;-60
0,00288;-0,04484;0,800808;719,065;-60;-60
0,0029;-0,04464;0,804646;724,059;-60;-60
0,00292;-0,04444;0,806869;729,052;-60;-60
0,00294;-0,04432;0,807879;734,046;-60;-60
0,00296;-0,044;0,808889;739,039;-60;-60
0,00298;-0,04408;0,808889;744,033;-60;-60
0,003;-0,044;0,81596;749,026;-60;-60
0,00302;-0,04396;0,81697;754,02;-60;-60
0,00304;-0,04404;0,815354;759,013;-60;-60
0,00306;-0,044;0,816364;764,007;-60;-60
