"t / s";"CH1 / V";"CH2 / V"
0;-0,218384;0,881818
2e-05;-0,201616;0,882424
4e-05;-0,2;0,882424
6e-05;-0,187475;0,883636
8e-05;-0,182222;0,880202
0,0001;-0,181616;0,881212
0,00012;-0,178586;0,87899
0,00014;-0,168889;0,87596
0,00016;-0,161818;0,877576
0,00018;-0,161616;0,875152
0,0002;-0,116364;0,867475
0,00022;-0,10101;0,858384
0,00024;-0,0977778;0,859596
0,00026;-0,090303;0,856162
0,00028;-0,0824242;0,856566
0,0003;-0,0808081;0,851919
0,00032;-0,080202;0,846061
0,00034;-0,0751515;0,843636
0,00036;-0,0642424;0,840202
0,00038;-0,0608081;0,839798
0,0004;-0,0575758;0,838788
0,00042;-0,049899;0,832525
0,00044;-0,0416162;0,826263
0,00046;-0,039798;0,822828
0,00048;-0,0357576;0,822626
0,0005;-0,0242424;0,819394
0,00052;-0,020404;0,812121
0,00054;-0,020202;0,807273
0,00056;-0,0193939;0,807879
0,00058;-0,0141414;0,809293
0,0006;-0,00242424;0,800202
0,00062;-0,00040404;0,793131
0,00064;0;0,794949
0,00066;0,00020202;0,792727
0,00068;0,00242424;0,785455
0,0007;0,0115152;0,780808
0,00072;0,0177778;0,779596
0,00074;0,019798;0,776768
0,00076;0,020404;0,770909
0,00078;0,0226263;0,765859
0,0008;0,0282828;0,765051
0,00082;0,0351515;0,757374
0,00084;0,0387879;0,756768
0,00086;0,040404;0,752121
0,00088;0,0414141;0,748485
0,0009;0,0448485;0,747677
0,00092;0,0509091;0,746465
0,00094;0,0543434;0,741414
0,00096;0,0581818;0,733131
0,00098;0,0593939;0,729293
0,001;0,060202;0,727273
0,00102;0,0606061;0,723232
0,00104;0,0606061;0,717576
0,00106;0,0606061;0,714343
0,00108;0,0612121;0,707879
0,0011;0,0612121;0,707273
0,00112;0,0634343;0,706465
0,00114;0,0668687;0,705253
0,00116;0,0711111;0,701616
0,00118;0,0731313;0,694141
0,0012;0,0761616;0,690303
0,00122;0,0791919;0,687273
0,00124;0,079798;0,683838
0,00126;0,0806061;0,677172
0,00128;0,080404;0,674141
0,0013;0,0806061;0,672121
0,00132;0,0808081;0,669293
0,00134;0,0808081;0,667677
0,00136;0,0808081;0,665253
0,00138;0,0808081;0,663636
0,0014;0,0808081;0,655152
0,00142;0,0808081;0,652121
0,00144;0,0810101;0,646869
0,00146;0,0812121;0,642424
0,00148;0,0818182;0,635556
0,0015;0,0826263;0,632525
0,00152;0,0824242;0,627879
0,00154;0,0832323;0,626465
0,00156;0,0850505;0,625657
0,00158;0,0846465;0,623232
0,0016;0,0880808;0,619394
0,00162;0,0886869;0,611313
0,00164;0,0882828;0,606465
0,00166;0,0913131;0,606061
0,00168;0,0925253;0,602626
0,0017;0,0951515;0,597576
0,00172;0,0931313;0,588687
0,00174;0,0957576;0,586465
0,00176;0,0969697;0,585253
0,00178;0,0983838;0,581818
0,0018;0,100808;0,577172
0,00182;0,100404;0,569091
0,00184;0,100202;0,565859
0,00186;0,100808;0,564242
0,00188;0,100606;0,552727
0,0019;0,100606;0,547879
0,00192;0,10101;0,545455
0,00194;0,101212;0,545455
0,00196;0,100808;0,54303
0,00198;0,101414;0,535556
0,002;0,101414;0,528687
0,00202;0,102828;0,525455
0,00204;0,104444;0,522424
0,00206;0,104848;0,518182
0,00208;0,107071;0,511515
0,0021;0,113535;0,506263
0,00212;0,114747;0,504444
0,00214;0,117576;0,5
0,00216;0,119394;0,491111
0,00218;0,120404;0,485657
0,0022;0,121212;0,483232
0,00222;0,121212;0,476566
0,00224;0,12101;0,469495
0,00226;0,121414;0,465051
0,00228;0,122828;0,463232
0,0023;0,125455;0,458384
0,00232;0,126869;0,450909
0,00234;0,129899;0,445051
0,00236;0,134141;0,443232
0,00238;0,136566;0,437374
0,0024;0,137172;0,429899
0,00242;0,138182;0,423838
0,00244;0,14;0,42303
0,00246;0,141414;0,416162
0,00248;0,14101;0,406667
0,0025;0,141212;0,403636
0,00252;0,141414;0,395152
0,00254;0,141414;0,387071
0,00256;0,141414;0,384242
0,00258;0,141414;0,383838
0,0026;0,141414;0,381414
0,00262;0,141616;0,372121
0,00264;0,141616;0,36404
0,00266;0,142222;0,36303
0,00268;0,141616;0,355152
0,0027;0,142828;0,345657
0,00272;0,143434;0,342828
0,00274;0,146263;0,337778
0,00276;0,148283;0,327677
0,00278;0,152525;0,32303
0,0028;0,151717;0,318586
0,00282;0,15697;0,307071
0,00284;0,158586;0,303232
0,00286;0,16;0,302626
0,00288;0,16101;0,298586
0,0029;0,16101;0,287677
0,00292;0,161616;0,283232
0,00294;0,161616;0,282828
0,00296;0,161616;0,277172
0,00298;0,161616;0,265253
0,003;0,161616;0,262626
0,00302;0,161616;0,26101
0,00304;0,162222;0,248889
0,00306;0,16202;0,243232
0,00308;0,163636;0,241818
0,0031;0,163434;0,237172
0,00312;0,165859;0,227677
0,00314;0,168485;0,222424
0,00316;0,169495;0,222222
0,00318;0,171313;0,221212
0,0032;0,173737;0,21899
0,00322;0,174545;0,209495
0,00324;0,177576;0,203838
0,00326;0,178182;0,202424
0,00328;0,178586;0,201414
0,0033;0,180202;0,197172
0,00332;0,180404;0,189697
0,00334;0,180606;0,183232
0,00336;0,181212;0,182222
0,00338;0,181414;0,179192
0,0034;0,18101;0,175556
0,00342;0,18101;0,167273
0,00344;0,180404;0,163232
0,00346;0,180808;0,161212
0,00348;0,180202;0,15899
0,0035;0,180202;0,154343
0,00352;0,180606;0,144242
0,00354;0,17899;0,143232
0,00356;0,18;0,141818
0,00358;0,179394;0,141414
0,0036;0,180404;0,140606
0,00362;0,179798;0,139192
0,00364;0,178788;0,131717
0,00366;0,177374;0,125253
0,00368;0,17596;0,123636
0,0037;0,17596;0,121616
0,00372;0,177778;0,120404
0,00374;0,177374;0,117778
0,00376;0,17798;0,110101
0,00378;0,177172;0,107071
0,0038;0,176162;0,10202
0,00382;0,175758;0,10202
0,00384;0,176566;0,100404
0,00386;0,17596;0,0983838
0,00388;0,177172;0,0927273
0,0039;0,175758;0,0852525
0,00392;0,176566;0,0822222
0,00394;0,176566;0,080202
0,00396;0,177172;0,0791919
0,00398;0,177172;0,0735354
0,004;0,176364;0,0672727
0,00402;0,177778;0,0626263
0,00404;0,177374;0,0642424
0,00406;0,178788;0,0606061
0,00408;0,177374;0,0573737
0,0041;0,178384;0,0535354
0,00412;0,177778;0,050101
0,00414;0,179596;0,0474747
0,00416;0,180404;0,0444444
0,00418;0,180404;0,0416162
0,0042;0,180202;0,0387879
0,00422;0,18;0,0347475
0,00424;0,180404;0,0343434
0,00426;0,180606;0,0311111
0,00428;0,181414;0,0282828
0,0043;0,18101;0,0248485
0,00432;0,181616;0,0214141
0,00434;0,181414;0,02
0,00436;0,181212;0,02
0,00438;0,18101;0,0191919
0,0044;0,181212;0,0159596
0,00442;0,181212;0,0109091
0,00444;0,180808;0,00747475
0,00446;0,180808;0,00222222
0,00448;0,181212;0,000606061
0,0045;0,181414;-0,00020202
0,00452;0,181414;-0,00040404
0,00454;0,181414;-0,0010101
0,00456;0,181616;-0,00343434
0,00458;0,181414;-0,00868687
0,0046;0,181616;-0,0143434
0,00462;0,18;-0,0179798
0,00464;0,181616;-0,0193939
0,00466;0,18101;-0,020202
0,00468;0,181212;-0,020202
0,0047;0,181414;-0,020404
0,00472;0,180808;-0,0206061
0,00474;0,180606;-0,0218182
0,00476;0,179394;-0,0268687
0,00478;0,181212;-0,0307071
0,0048;0,181212;-0,0343434
0,00482;0,180808;-0,0383838
0,00484;0,180606;-0,040202
0,00486;0,180606;-0,040404
0,00488;0,18;-0,0406061
0,0049;0,180808;-0,0436364
0,00492;0,181616;-0,0478788
0,00494;0,18101;-0,0525253
0,00496;0,180808;-0,0553535
0,00498;0,18101;-0,0557576
0,005;0,181414;-0,0577778
0,00502;0,18101;-0,0620202
0,00504;0,18101;-0,0658586
0,00506;0,181414;-0,0711111
0,00508;0,181616;-0,0731313
0,0051;0,181818;-0,0765657
0,00512;0,181818;-0,0816162
0,00514;0,181818;-0,0854545
0,00516;0,181818;-0,0884848
0,00518;0,18202;-0,0927273
0,0052;0,182222;-0,0965657
0,00522;0,182222;-0,099798
0,00524;0,183838;-0,10101
0,00526;0,187071;-0,103232
0,00528;0,187879;-0,106465
0,0053;0,191313;-0,11697
0,00532;0,194141;-0,12101
0,00534;0,198586;-0,121212
0,00536;0,199596;-0,122424
0,00538;0,20101;-0,129495
0,0054;0,20303;-0,13596
0,00542;0,205051;-0,14
0,00544;0,207879;-0,141414
0,00546;0,210505;-0,143838
0,00548;0,215152;-0,150505
0,0055;0,219596;-0,158788
0,00552;0,220202;-0,160606
0,00554;0,221616;-0,162222
0,00556;0,222222;-0,167677
0,00558;0,223434;-0,175354
0,0056;0,227071;-0,179596
0,00562;0,233131;-0,181616
0,00564;0,238384;-0,182222
0,00566;0,241414;-0,186465
0,00568;0,24202;-0,195354
0,0057;0,242424;-0,201212
0,00572;0,242424;-0,202222
0,00574;0,24303;-0,205051
0,00576;0,244444;-0,214747
0,00578;0,249899;-0,22202
0,0058;0,25697;-0,222626
0,00582;0,261414;-0,225051
0,00584;0,262424;-0,234747
0,00586;0,26303;-0,242424
0,00588;0,265859;-0,250101
0,0059;0,274747;-0,256364
0,00592;0,281414;-0,261212
0,00594;0,282424;-0,262626
0,00596;0,283636;-0,265657
0,00598;0,288485;-0,274141
0,006;0,295556;-0,279192
0,00602;0,301818;-0,282828
0,00604;0,30303;-0,287071
0,00606;0,30303;-0,293737
0,00608;0,304444;-0,299596
0,0061;0,309091;-0,303636
0,00612;0,316364;-0,305253
0,00614;0,322424;-0,309899
0,00616;0,323232;-0,320202
0,00618;0,323636;-0,324444
0,0062;0,325859;-0,328687
0,00622;0,331515;-0,338788
0,00624;0,340606;-0,342626
0,00626;0,34303;-0,343434
0,00628;0,343434;-0,344848
0,0063;0,348485;-0,351313
0,00632;0,358586;-0,36
0,00634;0,363434;-0,363434
0,00636;0,365657;-0,364646
0,00638;0,373939;-0,369091
0,0064;0,38202;-0,379192
0,00642;0,383434;-0,383838
0,00644;0,383838;-0,384242
0,00646;0,384444;-0,390505
0,00648;0,391111;-0,398384
0,0065;0,399798;-0,402828
0,00652;0,403838;-0,406263
0,00654;0,40404;-0,412121
0,00656;0,404444;-0,420606
0,00658;0,408485;-0,422828
0,0066;0,416566;-0,42404
0,00662;0,423232;-0,426667
0,00664;0,424444;-0,429697
0,00666;0,427071;-0,438788
0,00668;0,434747;-0,444444
0,0067;0,443434;-0,444848
0,00672;0,444646;-0,448889
0,00674;0,445253;-0,457172
0,00676;0,452929;-0,46303
0,00678;0,460808;-0,464646
0,0068;0,46404;-0,467475
0,00682;0,464646;-0,472727
0,00684;0,464848;-0,481616
0,00686;0,468081;-0,483232
0,00688;0,475556;-0,485859
0,0069;0,483232;-0,491515
0,00692;0,484242;-0,498788
0,00694;0,484848;-0,503636
0,00696;0,485253;-0,505051
0,00698;0,486667;-0,505455
0,007;0,495152;-0,509899
0,00702;0,502828;-0,518182
0,00704;0,504444;-0,520808
0,00706;0,505657;-0,524646
0,00708;0,507071;-0,527879
0,0071;0,515152;-0,531515
0,00712;0,522222;-0,534545
0,00714;0,523838;-0,53596
0,00716;0,525455;-0,543838
0,00718;0,527071;-0,545253
0,0072;0,529293;-0,547879
0,00722;0,537576;-0,549495
0,00724;0,542626;-0,553333
0,00726;0,544242;-0,561414
0,00728;0,545455;-0,565051
0,0073;0,545253;-0,570303
0,00732;0,545859;-0,573333
0,00734;0,547677;-0,57899
0,00736;0,549091;-0,583636
0,00738;0,554545;-0,585657
0,0074;0,56;-0,588283
0,00742;0,562424;-0,589495
0,00744;0,565051;-0,59596
0,00746;0,565455;-0,602222
0,00748;0,565657;-0,606263
0,0075;0,565657;-0,610505
0,00752;0,565657;-0,616162
0,00754;0,566869;-0,624646
0,00756;0,568485;-0,626263
0,00758;0,570707;-0,629293
0,0076;0,578586;-0,632121
0,00762;0,581212;-0,640808
0,00764;0,584242;-0,643636
0,00766;0,585455;-0,646869
0,00768;0,586263;-0,653535
0,0077;0,585859;-0,659798
0,00772;0,587879;-0,662626
0,00774;0,590505;-0,665253
0,00776;0,596768;-0,666869
0,00778;0,59697;-0,668283
0,0078;0,600606;-0,672121
0,00782;0,602626;-0,68
0,00784;0,604242;-0,682828
0,00786;0,603838;-0,681212
0,00788;0,605253;-0,687475
0,0079;0,605051;-0,693131
0,00792;0,606061;-0,696768
0,00794;0,606667;-0,696364
0,00796;0,607677;-0,704848
0,00798;0,607071;-0,706061
0,008;0,607677;-0,709697
0,00802;0,609697;-0,712929
0,00804;0,608687;-0,719192
0,00806;0,608283;-0,72202
0,00808;0,609293;-0,728283
0,0081;0,610101;-0,731717
0,00812;0,607677;-0,737576
0,00814;0,609899;-0,74202
0,00816;0,609091;-0,74404
0,00818;0,608889;-0,748687
0,0082;0,609091;-0,753333
0,00822;0,610303;-0,756162
0,00824;0,609091;-0,761818
0,00826;0,610303;-0,764646
0,00828;0,608687;-0,769091
0,0083;0,608889;-0,772727
0,00832;0,607879;-0,77697
0,00834;0,607677;-0,779798
0,00836;0,607879;-0,782222
0,00838;0,607273;-0,784242
0,0084;0,607071;-0,789091
